anno;mes;dia;hora;ndig;reflectancia;rmin;rmax;nc;N;Hext;brilloSolarC;dj
2012.0;1.0;10.0;10.0;139.0;0.2281931365257749;0.0959437969535486;0.9019934997025825;0.16407094887720905;11.81739767235281;9624.898127822502;0.8359290511227909;10.0
2012.0;1.0;10.0;13.0;99.0;0.1672167467324365;-0.0739454419266923;1.1161965489755137;0.20263312319256294;11.81739767235281;9624.898127822502;0.7973668768074371;10.0
2012.0;1.0;10.0;16.0;170.0;0.241525605452875;-0.0444021323580081;0.4830732212313118;0.542068431947059;11.81739767235281;9624.898127822502;0.457931568052941;10.0
2012.0;1.0;11.0;7.0;181.0;0.233502623125972;0.0090905727953887;0.2849427415610046;0.8135228783401742;11.818735427826551;9636.801737284502;0.18647712165982577;11.0
2012.0;1.0;11.0;10.0;91.0;0.1286057566159567;0.0959437969535486;0.9019934997025825;0.04052102438722379;11.818735427826551;9636.801737284502;0.9594789756127762;11.0
2012.0;1.0;11.0;13.0;140.0;0.2655697701801996;-0.0739454419266923;1.1161965489755137;0.2852728621477485;11.818735427826551;9636.801737284502;0.7147271378522515;11.0
2012.0;1.0;11.0;16.0;63.0;0.0582926498276519;-0.0444021323580081;0.4830732212313118;0.19469114810170976;11.818735427826551;9636.801737284502;0.8053088518982903;11.0
2012.0;1.0;12.0;7.0;65.0;0.0552826886242443;0.0090905727953887;0.2849427415610046;0.1674524294500066;11.820135526183408;9649.151829132596;0.8325475705499934;12.0
2012.0;1.0;12.0;10.0;291.0;0.5434272970381945;0.0959437969535486;0.9019934997025825;0.5551562125244915;11.820135526183408;9649.151829132596;0.44484378747550846;12.0
2012.0;1.0;12.0;13.0;241.0;0.508017442567384;-0.0739454419266923;1.1161965489755137;0.4889860948884848;11.820135526183408;9649.151829132596;0.5110139051115152;12.0
2012.0;1.0;12.0;16.0;149.0;0.2059211599507855;-0.0444021323580081;0.4830732212313118;0.47456869900255;11.820135526183408;9649.151829132596;0.5254313009974501;12.0
2012.0;1.0;13.0;7.0;93.0;0.0982425611215192;0.0090905727953887;0.2849427415610046;0.3231875563098456;11.821596940975782;9661.93248022816;0.6768124436901544;13.0
2012.0;1.0;13.0;10.0;354.0;0.674073831947935;0.0959437969535486;0.9019934997025825;0.7172386926298377;11.821596940975782;9661.93248022816;0.28276130737016225;13.0
2012.0;1.0;13.0;13.0;185.0;0.3744268994041719;-0.0739454419266923;1.1161965489755137;0.3767385276364953;11.821596940975782;9661.93248022816;0.6232614723635047;13.0
2012.0;1.0;13.0;16.0;78.0;0.084157788919863;-0.0444021323580081;0.4830732212313118;0.24372687823811556;11.821596940975782;9661.93248022816;0.7562731217618844;13.0
2012.0;1.0;14.0;7.0;41.0;0.0184131711748403;0.0090905727953887;0.2849427415610046;0.033795631990744875;11.82311861350693;9675.127187509834;0.9662043680092551;14.0
2012.0;1.0;14.0;10.0;281.0;0.5226620796146092;0.0959437969535486;0.9019934997025825;0.5293945040929079;11.82311861350693;9675.127187509834;0.4706054959070921;14.0
2012.0;1.0;14.0;13.0;230.0;0.4832258229919644;-0.0739454419266923;1.1161965489755137;0.4681552866614548;11.82311861350693;9675.127187509834;0.5318447133385452;14.0
